release_date,date_id,year,month,quarter
2014-09-24,748,2014,9,3
1995-05-12,749,1995,5,2
2005-09-22,750,2005,9,3
1994-12-09,751,1994,12,4
1998-04-10,752,1998,4,2
2003-10-10,753,2003,10,4
1999-08-12,754,1999,8,3
2004-04-16,755,2004,4,2
1989-12-22,756,1989,12,4
1992-07-30,757,1992,7,3
2000-05-26,758,2000,5,2
1996-03-15,759,1996,3,1
2011-06-17,760,2011,6,2
2008-04-18,761,2008,4,2
2013-10-30,762,2013,10,4
1992-05-22,763,1992,5,2
1996-12-14,764,1996,12,4
1998-09-25,765,1998,9,3
2014-11-27,766,2014,11,4
2012-07-26,767,2012,7,3
2003-03-11,768,2003,3,1
1999-06-04,769,1999,6,2
2003-12-10,770,2003,12,4
2008-02-28,771,2008,2,1
2008-01-30,772,2008,1,1
1996-08-02,773,1996,8,3
1996-08-15,774,1996,8,3
2007-09-09,775,2007,9,3
2005-11-30,776,2005,11,4
2003-02-21,777,2003,2,1
1997-01-09,778,1997,1,1
2010-11-23,779,2010,11,4
2004-10-26,780,2004,10,4
1962-06-13,781,1962,6,2
2002-01-04,782,2002,1,1
2002-03-22,783,2002,3,1
2008-12-18,784,2008,12,4
2013-01-31,785,2013,1,1
1990-12-24,786,1990,12,4
2005-10-06,787,2005,10,4
2006-07-14,788,2006,7,3
1980-12-04,789,1980,12,4
2006-09-10,790,2006,9,3
2000-06-15,791,2000,6,2
1997-11-20,792,1997,11,4
2001-03-09,793,2001,3,1
2001-10-30,794,2001,10,4
2015-09-04,795,2015,9,3
2006-10-18,796,2006,10,4
2007-04-06,797,2007,4,2
2002-12-25,798,2002,12,4
2012-12-19,799,2012,12,4
2006-06-01,800,2006,6,2
2008-07-03,801,2008,7,3
2010-02-10,802,2010,2,1
2005-08-05,803,2005,8,3
2011-08-05,804,2011,8,3
1999-12-22,805,1999,12,4
1995-11-22,806,1995,11,4
2010-02-05,807,2010,2,1
2000-06-22,808,2000,6,2
2006-11-22,809,2006,11,4
2009-03-15,810,2009,3,1
2001-05-16,811,2001,5,2
2011-03-03,812,2011,3,1
1991-06-14,813,1991,6,2
2012-06-29,814,2012,6,2
1997-12-19,815,1997,12,4
2002-06-28,816,2002,6,2
2011-06-08,817,2011,6,2
2000-03-17,818,2000,3,1
2003-02-07,819,2003,2,1
2014-06-05,820,2014,6,2
1994-11-11,821,1994,11,4
2008-12-09,822,2008,12,4
2016-06-15,823,2016,6,2
1999-02-05,824,1999,2,1
1995-06-09,825,1995,6,2
2011-12-22,826,2011,12,4
2006-03-10,827,2006,3,1
2005-03-17,828,2005,3,1
2004-11-24,829,2004,11,4
2011-09-22,830,2011,9,3
